base_risk,max_positions,max_new,exposure_mult,vol_scale,cagr,max_dd,final
0.0225,6,1,0.9,True,11.63798277759145,22.79687209402354,247222.6101971481
0.0225,6,1,0.9,False,13.856251678484078,22.279212975497895,296154.39158403454
0.0225,6,1,1.0,True,13.632664164484654,24.515050917856097,290858.9917200251
0.0225,6,1,1.0,False,16.08983526448813,23.451193035701355,353965.27259446296
0.0225,6,1,1.1,True,14.949094049996114,25.649450095937944,323293.55564048584
0.0225,6,1,1.1,False,16.56709165206958,24.832961558754302,367548.55743486574
0.0225,6,1,1.2,True,15.497824120460146,23.266139364140077,337738.5433030807
0.0225,6,1,1.2,False,17.010920420109343,22.581013511030346,380595.24181299994
0.0225,6,2,0.9,True,12.282380338641152,18.70953717030834,260634.09281560892
0.0225,6,2,0.9,False,13.998650930046042,20.74123835567942,299571.558816799
0.0225,6,2,1.0,True,15.18497200808464,21.791651115675243,329434.01466972916
0.0225,6,2,1.0,False,17.32014661883481,22.791873992920323,389927.48335185286
0.0225,6,2,1.1,True,15.573453724368447,20.428378454105353,339773.8831072807
0.0225,6,2,1.1,False,16.904758315566216,19.69527710645848,377437.5424058306
0.0225,6,2,1.2,True,14.464811067997418,20.808144305678486,311005.1735485738
0.0225,6,2,1.2,False,16.44831328967524,21.47227600011399,364125.2793012492
0.0225,6,3,0.9,True,12.046829420292603,18.984529821819173,255658.3656124919
0.0225,6,3,0.9,False,13.581557482822815,21.984014974603642,289660.5043430573
0.0225,6,3,1.0,True,14.48494796914861,19.91037000468361,311507.71952110867
0.0225,6,3,1.0,False,17.45219611133393,22.308284578958368,393974.3862361652
0.0225,6,3,1.1,True,16.65359918232121,20.897016486543173,370059.78511543415
0.0225,6,3,1.1,False,18.798787082564484,20.37572963778638,437431.30025905685
0.0225,6,3,1.2,True,17.101521906183457,21.30161038430355,383308.6983066068
0.0225,6,3,1.2,False,17.959458726026867,21.2340678160715,409870.69898851094
0.0225,8,1,0.9,True,11.182416334709888,27.806152913310413,238115.8025324496
0.0225,8,1,0.9,False,12.955682715322482,27.48669352368851,275336.0928264351
0.0225,8,1,1.0,True,13.210975628882359,29.205214530212515,281100.9150977449
0.0225,8,1,1.0,False,15.454488729138927,28.471382874949015,336577.20599591045
0.0225,8,1,1.1,True,14.251619824435991,28.937547109609174,305728.812558947
0.0225,8,1,1.1,False,14.42732815308283,31.173624731972726,310071.65580936853
0.0225,8,1,1.2,True,14.201171104862675,32.26468412097605,304491.96784519416
0.0225,8,1,1.2,False,15.90913652357051,34.50784481960299,348940.29843187856
0.0225,8,2,0.9,True,12.141172277309753,21.12447272709269,257640.98950069654
0.0225,8,2,0.9,False,13.86363231473553,22.338373140052415,296330.6481548202
0.0225,8,2,1.0,True,15.422237034464882,21.675593582253853,335715.2095928475
0.0225,8,2,1.0,False,17.127752662119853,24.61594223708237,384097.5037135019
0.0225,8,2,1.1,True,15.041597847625221,23.386663879160402,325689.3841338246
0.0225,8,2,1.1,False,17.20871123778074,22.650112777602423,386541.2012877648
0.0225,8,2,1.2,True,15.655345004660282,23.357028817202664,341990.05449541815
0.0225,8,2,1.2,False,17.39382339821658,22.91781565452891,392180.85338170145
0.0225,8,3,0.9,True,16.813161267562027,18.51285005939323,374731.85036721383
0.0225,8,3,0.9,False,18.84083133738268,20.33204980459836,438854.311099665
0.0225,8,3,1.0,True,19.585121088163437,19.540064317385983,464737.54258673976
0.0225,8,3,1.0,False,21.345541561752988,21.949691603374887,531448.4956695323
0.0225,8,3,1.1,True,18.751042524004014,20.567670993911616,435820.3461189282
0.0225,8,3,1.1,False,20.82583910674609,21.29621900329758,510919.272239917
0.0225,8,3,1.2,True,18.50932385367674,23.18751769140998,427745.3381394797
0.0225,8,3,1.2,False,20.102834808223967,24.00295263766425,483534.84115903056
0.0225,10,1,0.9,True,13.344070686743127,26.877919438309444,284148.806432108
0.0225,10,1,0.9,False,15.429194869471562,28.100909573258505,335901.0062122656
0.0225,10,1,1.0,True,14.88800735348812,27.837093400474345,321720.04524369875
0.0225,10,1,1.0,False,17.48289535513461,29.135480357915956,394920.56642557005
0.0225,10,1,1.1,True,15.833671888760348,27.956664415600063,346860.62079762854
0.0225,10,1,1.1,False,17.365001286566752,31.336428869853588,391297.9645170243
0.0225,10,1,1.2,True,14.862279820684687,32.004278612569934,321059.3837604014
0.0225,10,1,1.2,False,16.962150024723478,35.87364199873807,379141.69771038194
0.0225,10,2,0.9,True,15.70767179110748,21.23045673745212,343412.87645191746
0.0225,10,2,0.9,False,17.271674141592165,22.22299644892986,388451.2741704483
0.0225,10,2,1.0,True,17.349410120519405,21.970952318676922,390821.109060133
0.0225,10,2,1.0,False,19.418731993299243,23.223542540351165,458836.0655414576
0.0225,10,2,1.1,True,16.29552533293439,23.394402807651513,359763.60994853004
0.0225,10,2,1.1,False,18.23515280242112,22.935749704269245,418747.7914458598
0.0225,10,2,1.2,True,16.458662686047056,23.797268662207802,364422.42235640914
0.0225,10,2,1.2,False,18.246618003031333,25.274070966846384,419120.6420763327
0.0225,10,3,0.9,True,17.693673019586154,20.67357342847102,401471.7993241126
0.0225,10,3,0.9,False,18.098801280863253,21.19392808147442,414336.21564914996
0.0225,10,3,1.0,True,19.481984067740775,21.62282475921878,461071.57130247896
0.0225,10,3,1.0,False,20.823876540140308,22.224669028166925,510843.1058949765
0.0225,10,3,1.1,True,17.593715297873835,22.562798627016406,398353.0139414692
0.0225,10,3,1.1,False,19.34937705727886,23.260366967639335,456395.97273215075
0.0225,10,3,1.2,True,17.532312647068473,21.451168911649017,396447.90837622137
0.0225,10,3,1.2,False,19.343870352509818,25.022151523423634,456202.7284768857
0.025,6,1,0.9,True,13.632664164484654,24.515050917856097,290858.9917200251
0.025,6,1,0.9,False,16.08983526448813,23.451193035701355,353965.27259446296
0.025,6,1,1.0,True,15.018663183858184,25.834533413119022,325093.9110464604
0.025,6,1,1.0,False,16.624955140165596,24.99062559718275,369226.58925964206
0.025,6,1,1.1,True,16.10009461898203,22.445706735542682,354252.4951503808
0.025,6,1,1.1,False,17.12876911520187,22.860555410249066,384128.09935160005
